Player,09/12vs. JAX,09/19vs. CLE
Danny Amendola,,
Pharaoh Brown,,Q
Nico Collins,,
Ka'imi Fairbairn,,
Jonathan Greenard,Q,
Kamu Grugier-Hill,,Q
Lonnie Johnson Jr.,O,
Terrance Mitchell,,
A.J. Moore,,
Kevin Pierre-Louis,Q,
Justin Reid,,
Tyrod Taylor,,
Vincent Taylor,,
Deshaun Watson,O,O
