Player,09/12vs. CIN,09/19vs. ARI
Anthony Barr,O,O
Dan Chisena,,
Christian Darrisaw,O,O
Everson Griffen,,O
Harrison Hand,,O
Olabisi Johnson,,
Eric Kendricks,,Q
Kene Nwangwu,,
Janarius Robinson,,
Jordon Scott,,
Irv Smith Jr.,,
